iter	Passed	Remaining
403	11102	16379
404	11133	16356
405	11166	16337
406	11213	16338
407	11261	16340
408	11282	16303
409	11305	16269
410	11342	16254
411	11364	16219
412	11390	16189
413	11412	16153
414	11438	16123
415	11464	16094
416	11498	16075
417	11533	16059
418	11566	16038
419	11595	16013
420	11623	15985
421	11648	15954
422	11675	15926
423	11707	15904
424	11742	15886
425	11769	15858
426	11792	15824
427	11815	15790
428	11835	15753
429	11856	15716
430	11877	15680
431	11897	15642
432	11916	15604
433	11940	15571
434	11961	15536
435	11985	15504
436	12012	15476
437	12042	15452
438	12076	15432
439	12100	15400
440	12128	15373
441	12163	15355
442	12188	15325
443	12214	15296
444	12240	15266
445	12263	15233
446	12290	15204
447	12318	15178
448	12343	15147
449	12372	15121
450	12399	15093
451	12433	15073
452	12467	15054
453	12494	15026
454	12525	15002
455	12554	14977
456	12580	14947
457	12607	14920
458	12633	14890
459	12659	14860
460	12685	14831
461	12710	14801
462	12734	14770
463	12764	14745
464	12791	14717
465	12819	14690
466	12847	14662
467	12876	14637
468	12903	14609
469	12928	14578
470	12956	14552
471	12985	14526
472	13013	14498
473	13040	14470
474	13066	14442
475	13096	14417
476	13123	14389
477	13151	14362
478	13176	14331
479	13200	14300
480	13229	14274
481	13254	14244
482	13281	14216
483	13308	14188
484	13335	14160
485	13360	14129
486	13386	14101
487	13413	14073
488	13439	14044
489	13470	14020
490	13492	13986
491	13523	13963
492	13548	13932
493	13577	13907
494	13604	13879
495	13628	13848
496	13657	13822
497	13685	13795
498	13709	13764
499	13735	13735
500	13760	13705
501	13787	13677
502	13814	13649
503	13839	13619
504	13861	13587
505	13887	13557
506	13910	13526
507	13934	13495
508	13958	13465
509	13987	13439
510	14011	13408
511	14034	13376
512	14058	13346
513	14082	13315
514	14110	13288
515	14137	13260
516	14166	13235
517	14210	13223
518	14240	13197
519	14266	13169
520	14295	13142
521	14324	13116
522	14356	13093
523	14385	13067
524	14417	13044
525	14444	13016
526	14475	12992
527	14502	12964
528	14530	12937
529	14558	12910
530	14589	12885
531	14616	12858
532	14643	12830
533	14674	12806
534	14706	12782
535	14729	12750
536	14757	12724
537	14781	12693
538	14806	12664
539	14831	12634
540	14857	12605
541	14882	12575
542	14907	12546
543	14929	12514
544	14954	12484
545	14978	12455
546	15001	12423
547	15026	12394
548	15051	12364
549	15075	12334
550	15097	12302
551	15120	12271
552	15142	12239
553	15176	12217
554	15202	12189
555	15228	12160
556	15256	12133
557	15282	12105
558	15306	12075
559	15332	12047
560	15355	12016
561	15380	11987
562	15403	11955
563	15427	11926
564	15451	11896
565	15474	11865
566	15501	11838
567	15527	11809
568	15551	11780
569	15578	11752
570	15604	11723
571	15630	11695
572	15659	11669
573	15685	11641
574	15715	11615
575	15741	11587
576	15767	11559
577	15794	11531
578	15828	11509
579	15859	11484
580	15886	11456
581	15913	11429
582	15938	11400
583	15965	11372
584	15990	11343
585	16014	11314
586	16037	11283
587	16064	11255
588	16087	11225
589	16112	11196
590	16138	11168
591	16163	11139
592	16187	11110
593	16208	11078
594	16233	11049
595	16258	11020
596	16283	10992
597	16310	10964
598	16337	10937
599	16368	10912
600	16393	10883
601	16419	10855
602	16443	10826
603	16467	10796
604	16490	10766
605	16515	10738
606	16538	10707
607	16564	10679
608	16588	10650
609	16609	10619
610	16633	10589
611	16655	10559
612	16679	10530
613	16706	10502
614	16739	10479
615	16764	10450
616	16789	10422
617	16814	10393
618	16840	10365
619	16865	10336
620	16890	10308
621	16915	10279
622	16939	10250
623	16963	10221
624	16986	10191
625	17011	10163
626	17037	10135
627	17062	10106
628	17083	10076
629	17109	10048
630	17134	10019
631	17156	9989
632	17182	9961
633	17208	9934
634	17234	9906
635	17259	9878
636	17288	9851
637	17314	9824
638	17340	9796
639	17364	9767
640	17391	9740
641	17415	9711
642	17447	9687
643	17475	9660
644	17501	9632
645	17528	9605
646	17551	9576
647	17573	9546
648	17598	9517
649	17628	9492
650	17656	9465
651	17682	9437
652	17708	9410
653	17732	9381
654	17755	9351
655	17779	9323
656	17807	9296
657	17836	9270
658	17861	9242
659	17894	9218
660	17927	9194
661	17953	9166
662	17979	9138
663	18006	9111
664	18031	9083
665	18058	9056
666	18085	9029
667	18108	9000
668	18133	8971
669	18159	8944
670	18187	8917
671	18213	8890
672	18240	8862
673	18264	8834
674	18285	8804
675	18310	8776
676	18337	8748
677	18363	8721
678	18390	8694
679	18415	8666
680	18445	8640
681	18472	8613
682	18498	8585
683	18527	8559
684	18554	8532
685	18584	8506
686	18611	8479
687	18639	8452
688	18665	8425
689	18694	8398
690	18724	8373
691	18748	8344
692	18772	8316
693	18797	8288
694	18825	8261
695	18854	8235
696	18883	8209
697	18907	8180
698	18934	8153
699	18962	8126
700	18988	8099
701	19014	8071
702	19041	8044
703	19067	8016
704	19094	7989
705	19121	7962
706	19146	7934
707	19177	7909
708	19206	7883
709	19233	7855
710	19262	7829
711	19288	7802
712	19310	7772
713	19335	7745
714	19362	7717
715	19387	7690
716	19414	7662
717	19438	7634
718	19464	7607
719	19489	7579
720	19513	7551
721	19537	7522
722	19560	7493
723	19586	7466
724	19612	7439
725	19637	7411
726	19660	7382
727	19683	7354
728	19707	7325
729	19732	7298
730	19759	7271
731	19786	7244
732	19812	7216
733	19835	7188
734	19861	7161
735	19887	7133
736	19914	7106
737	19941	7079
738	19969	7052
739	19994	7025
740	20018	6997
741	20055	6973
742	20084	6946
743	20108	6918
744	20136	6892
745	20160	6864
746	20187	6837
747	20214	6810
748	20242	6783
749	20268	6756
750	20298	6730
751	20324	6702
752	20350	6675
753	20370	6646
754	20396	6618
755	20425	6592
756	20448	6564
757	20477	6537
758	20506	6511
759	20533	6484
760	20562	6457
761	20590	6431
762	20617	6404
763	20645	6377
764	20673	6350
765	20700	6323
766	20729	6297
767	20754	6269
768	20780	6242
769	20817	6218
770	20847	6192
771	20875	6165
772	20901	6138
773	20928	6110
774	20957	6084
775	20982	6056
776	21011	6030
777	21036	6002
778	21062	5975
779	21090	5948
780	21117	5921
781	21147	5895
782	21176	5868
783	21202	5841
784	21230	5814
785	21254	5786
786	21280	5759
787	21305	5731
788	21342	5707
789	21368	5680
790	21391	5652
791	21416	5624
792	21438	5596
793	21465	5569
794	21491	5541
795	21516	5514
796	21542	5486
797	21578	5462
798	21603	5434
799	21626	5406
800	21647	5378
801	21673	5350
802	21698	5323
803	21722	5295
804	21753	5269
805	21790	5244
806	21817	5217
807	21850	5192
808	21892	5168
809	21935	5145
810	21971	5120
811	22001	5093
812	22033	5067
813	22065	5041
814	22096	5015
815	22137	4991
816	22168	4965
817	22193	4937
818	22216	4909
819	22240	4881
820	22263	4854
821	22285	4825
822	22311	4798
823	22336	4770
824	22378	4746
825	22431	4725
826	22462	4698
827	22481	4670
828	22514	4644
829	22543	4617
830	22566	4589
831	22587	4561
832	22611	4533
833	22635	4505
834	22657	4477
